tpep_pickup_datetime,PULocationID,fare_amount,trip_distance
2025-02-01 00:01:16,148,29.79,4.45
2025-02-01 00:01:16,249,10.0,1.6
2025-02-01 00:01:17,43,9.3,1.19
2025-02-01 00:01:17,114,9.62,0.9
2025-02-01 00:01:18,113,7.2,1.04
2025-02-01 00:01:18,158,12.87,1.98
2025-02-01 00:01:18,114,10.0,1.53
2025-02-01 00:01:19,88,28.06,3.7
2025-02-01 00:01:19,87,17.67,2.99
2025-02-01 00:01:19,161,6.5,0.8
2025-02-01 00:01:20,107,13.5,2.45
2025-02-01 00:01:20,234,31.71,9.45
2025-02-01 00:01:20,132,27.5,6.59
2025-02-01 00:01:21,144,5.8,0.4
2025-02-01 00:01:21,130,9.01,1.62
2025-02-01 00:01:22,48,12.8,2.6
2025-02-01 00:01:22,229,5.1,0.45
2025-02-01 00:01:23,114,17.66,2.82
2025-02-01 00:01:23,142,11.4,1.84
2025-02-01 00:01:24,234,12.43,1.72
2025-02-01 00:01:25,90,13.5,1.82
2025-02-01 00:01:26,234,37.47,10.6
2025-02-01 00:01:26,90,15.75,2.78
2025-02-01 00:01:26,163,14.21,2.1
2025-02-01 00:01:27,114,10.7,1.25
2025-02-01 00:01:28,114,10.0,1.09
2025-02-01 00:01:28,148,20.5,4.2
2025-02-01 00:01:29,90,7.59,1.1
2025-02-01 00:01:29,107,4.4,0.4
2025-02-01 00:01:29,234,9.74,1.2
2025-02-01 00:01:29,230,6.5,0.9
2025-02-01 00:01:29,79,14.29,1.59
2025-02-01 00:01:32,90,5.8,0.82
2025-02-01 00:01:32,90,6.5,0.6
2025-02-01 00:01:32,161,8.6,1.42
2025-02-01 00:01:32,161,28.9,4.29
2025-02-01 00:01:32,79,8.6,1.1
2025-02-01 00:01:33,229,17.7,3.19
2025-02-01 00:01:33,90,17.7,3.61
2025-02-01 00:01:33,211,13.18,1.74
2025-02-01 00:01:34,132,50.6,13.47
2025-02-01 00:01:34,249,26.1,4.61
2025-02-01 00:01:34,234,18.4,3.69
2025-02-01 00:01:35,249,8.6,1.21
2025-02-01 00:01:35,79,14.9,1.3
2025-02-01 00:01:35,163,5.8,0.68
2025-02-01 00:01:37,68,6.5,0.58
2025-02-01 00:01:37,234,13.42,2.32
2025-02-01 00:01:38,246,26.24,4.89
2025-02-01 00:01:38,231,16.3,2.14
2025-02-01 00:01:39,249,24.0,4.89
2025-02-01 00:01:39,107,7.9,1.17
2025-02-01 00:01:39,114,15.03,1.51
2025-02-01 00:01:41,237,19.8,3.17
2025-02-01 00:01:41,237,12.8,1.92
2025-02-01 00:01:41,100,32.76,9.5
2025-02-01 00:01:41,158,7.2,0.9
2025-02-01 00:01:42,79,24.7,5.04
2025-02-01 00:01:42,229,6.5,0.89
2025-02-01 00:01:42,145,41.11,14.09
2025-02-01 00:01:42,158,12.49,2.03
2025-02-01 00:01:42,107,12.8,1.91
2025-02-01 00:01:42,151,9.3,1.02
2025-02-01 00:01:43,141,15.6,2.94
2025-02-01 00:01:44,132,71.6,18.67
2025-02-01 00:01:44,144,10.55,1.4
2025-02-01 00:01:45,148,30.3,6.42
2025-02-01 00:01:45,239,7.31,1.37
2025-02-01 00:01:45,113,6.5,0.71
2025-02-01 00:01:46,234,6.5,0.69
2025-02-01 00:01:48,43,3.7,0.17
2025-02-01 00:01:48,48,11.4,1.78
2025-02-01 00:01:48,97,23.82,3.5
2025-02-01 00:01:49,68,27.67,4.1
2025-02-01 00:01:50,151,12.8,1.98
2025-02-01 00:01:50,158,37.3,8.63
2025-02-01 00:01:50,68,10.99,1.7
2025-02-01 00:01:50,249,20.37,3.73
2025-02-01 00:01:51,90,13.5,1.8
2025-02-01 00:01:52,158,12.1,1.6
2025-02-01 00:01:52,164,24.0,4.89
2025-02-01 00:01:53,90,17.41,3.15
2025-02-01 00:01:53,87,44.3,9.38
2025-02-01 00:01:54,142,9.3,1.41
2025-02-01 00:01:54,144,10.0,1.6
2025-02-01 00:01:54,79,10.7,1.44
2025-02-01 00:01:54,161,5.8,0.47
2025-02-01 00:01:55,230,12.1,1.59
2025-02-01 00:01:55,148,12.8,1.67
2025-02-01 00:01:56,107,13.9,1.1
2025-02-01 00:01:57,138,17.0,3.7
2025-02-01 00:01:58,113,9.3,0.85
2025-02-01 00:01:58,161,10.7,1.9
2025-02-01 00:01:59,79,13.5,1.46
2025-02-01 00:02:00,164,7.08,1.06
2025-02-01 00:02:00,220,24.98,7.91
2025-02-01 00:02:00,90,10.22,2.5
2025-02-01 00:02:00,239,10.0,1.52
2025-02-01 00:02:01,142,19.8,3.51
2025-02-01 00:02:02,164,22.89,4.76
2025-02-01 00:02:02,107,5.1,0.52
2025-02-01 00:02:02,239,6.5,0.66
2025-02-01 00:02:03,87,20.6,2.88
2025-02-01 00:02:03,230,12.1,2.19
2025-02-01 00:02:03,163,18.05,3.51
2025-02-01 00:02:03,236,5.1,0.74
2025-02-01 00:02:04,164,19.1,3.83
2025-02-01 00:02:04,48,15.6,2.39
2025-02-01 00:02:04,88,17.32,3.46
2025-02-01 00:02:04,142,14.75,2.8
2025-02-01 00:02:05,148,16.3,2.53
2025-02-01 00:02:07,132,23.3,5.63
2025-02-01 00:02:07,49,18.76,4.3
2025-02-01 00:02:07,231,19.8,3.56
2025-02-01 00:02:08,79,8.89,1.11
2025-02-01 00:02:08,148,11.31,0.85
2025-02-01 00:02:08,132,70.0,18.07
2025-02-01 00:02:08,141,5.1,0.6
2025-02-01 00:02:08,79,7.59,0.77
2025-02-01 00:02:09,132,70.0,18.7
2025-02-01 00:02:10,158,9.29,1.31
2025-02-01 00:02:11,163,27.77,5.28
2025-02-01 00:02:12,4,24.7,4.28
2025-02-01 00:02:12,237,8.6,1.59
2025-02-01 00:02:13,211,9.59,0.85
2025-02-01 00:02:14,230,12.1,1.5
2025-02-01 00:02:14,79,16.74,1.99
2025-02-01 00:02:14,237,19.1,3.5
2025-02-01 00:02:14,249,7.2,0.4
2025-02-01 00:02:15,211,13.05,1.29
2025-02-01 00:02:16,170,13.42,1.94
2025-02-01 00:02:16,249,10.48,1.8
2025-02-01 00:02:17,158,17.48,2.5
2025-02-01 00:02:18,211,9.3,0.7
2025-02-01 00:02:18,114,56.9,13.34
2025-02-01 00:02:19,48,11.77,1.9
2025-02-01 00:02:20,249,8.6,1.22
2025-02-01 00:02:20,263,25.4,5.36
2025-02-01 00:02:20,249,32.62,5.12
2025-02-01 00:02:20,230,11.4,1.36
2025-02-01 00:02:20,234,10.0,1.09
2025-02-01 00:02:20,48,38.0,9.38
2025-02-01 00:02:21,141,5.1,0.75
2025-02-01 00:02:21,87,12.77,3.72
2025-02-01 00:02:21,158,9.93,0.95
2025-02-01 00:02:22,113,9.3,0.5
2025-02-01 00:02:22,234,12.8,1.94
2025-02-01 00:02:23,48,23.3,4.0
2025-02-01 00:02:24,211,4.4,0.3
2025-02-01 00:02:24,79,11.4,1.54
2025-02-01 00:02:24,234,11.71,1.56
2025-02-01 00:02:24,186,27.05,5.64
2025-02-01 00:02:25,107,26.1,5.31
2025-02-01 00:02:26,148,10.04,0.99
2025-02-01 00:02:26,48,14.87,1.9
2025-02-01 00:02:27,76,66.0,17.5
2025-02-01 00:02:27,107,52.0,13.6
2025-02-01 00:02:27,142,27.72,7.86
2025-02-01 00:02:27,50,10.0,1.83
2025-02-01 00:02:28,211,29.6,5.92
